group,task_id,seed_id,tsip_status,expected_linter_verdict,sota_score,review_score,review_model,entered_audit_date_et
expect_clear,fc9124ee-463e-4cba-89fc-59f0bb56b110,6d1afa06-3a3c-4f5b-95b8-d35b9ef2cba3,audit,CLEAR,0,4,claude-opus-5,30-Aug-26
expect_clear,b1ddafeb-a5a8-422c-827c-e3ac70bfd376,83cc0da3-2645-492d-907d-8edc81d4e011,audit,CLEAR,0.033,4,claude-opus-5,30-Aug-26
expect_clear,783c7681-e91f-40dc-80fc-f6194138ded4,4ffda59c-bece-47b1-be59-99d4108baf25,audit,CLEAR,0.092,4,claude-opus-5,2-Sep-26
expect_clear,379b3b20-2eeb-4051-895a-2e8b21d327da,e4e787b1-adc8-4280-8b88-08e509ee1835,audit,CLEAR,0.18,4,claude-opus-5,30-Aug-26
expect_clear,7a3998ac-f15b-40c5-8e6b-5857800295f2,a705949a-437d-439a-8e1d-151bc66810ed,audit,CLEAR,0.21,4,claude-opus-5,30-Aug-26
expect_clear,dbf51ada-2e22-4348-a240-72b0b72fd20d,0d7c2271-4388-4faa-92de-ab123d9245f9,audit,CLEAR,0.27,4,claude-opus-5,30-Aug-26
expect_clear,0a90063b-20c5-4b29-8c85-63aa3c3b6bd1,e610dcfc-48b0-4a7d-a17d-49d362a6058d,audit,CLEAR,0.31,4,claude-opus-5,30-Aug-26
expect_clear,81a70d92-211e-40a1-a5de-4abee5e19e21,0e94549b-b923-46a0-af4d-e1a30ea5a5a0,audit,CLEAR,0.34,4,claude-opus-5,31-Aug-26
expect_clear,eced5a2e-0aa0-418a-99db-cb0b1d5d92c4,539aad76-932a-4782-89ed-4107c5c9787a,audit,CLEAR,0.36,4,claude-opus-5,31-Aug-26
expect_clear,4c36bbcb-ece2-4182-8a21-e51508ada4f0,f82b4afd-9ff5-47a1-bba2-af8ebe78ea23,audit,CLEAR,0.38,4,claude-opus-5,30-Aug-26
expect_clear,d29b58e4-2d61-401e-b177-211ca50d6b8c,148923ea-8a93-4a73-a58f-9115291e28b6,audit,CLEAR,0.4,4,claude-opus-5,30-Aug-26
expect_clear,22e66b05-1f24-4914-923a-69ea7816ef6d,ce3bb26a-7aac-4fa5-a7e0-f7f31ce415ef,audit,CLEAR,0.42,4,claude-opus-5,30-Aug-26
expect_clear,6809af6b-9634-4465-b98c-dad47100b847,e303d4bf-4612-4f6c-8e69-38e4048a2130,audit,CLEAR,0.45,4,claude-opus-5,30-Aug-26
expect_clear,c395571e-c546-46d1-88e2-51f16f03be30,7f3714d2-1ed9-47ac-83f2-abe9dfa6e10c,audit,CLEAR,0.47,4,claude-opus-5,30-Aug-26
expect_clear,799becad-f3fa-4065-9e98-f3f19eab233c,657cf5ec-7476-47dc-966c-692f0590eaf2,audit,CLEAR,0.48,4,claude-opus-5,30-Aug-26
expect_clear,78a8e49b-798d-4fc6-bfe0-d216235f8b29,e610dcfc-48b0-4a7d-a17d-49d362a6058d,audit,CLEAR,0.5,4,claude-opus-5,30-Aug-26
expect_clear,aa110a87-d847-4e63-b358-f02dac24cfcb,0ff34de9-4034-4998-bd7a-64fb6efed120,audit,CLEAR,0.53,4,claude-opus-5,30-Aug-26
expect_clear,cee3f18d-562d-4b0a-890f-a16c43ac708f,,audit,CLEAR,0.56,4,claude-opus-5,30-Aug-26
expect_clear,a8a781f9-5795-44ed-bb6e-858b7b34b50f,8ec9470c-d236-4948-85cc-986e919b6beb,audit,CLEAR,0.59,4,claude-opus-5,30-Aug-26
expect_clear,78e7371e-96b7-44a5-b962-d4654a889162,4ff9ae45-d34e-43fe-9270-40cc345071d2,audit,CLEAR,0.6,4,claude-opus-5,30-Aug-26
expect_hold_critical,b9e0815b-9796-494b-816c-1cf7efd47312,71f2e887-3776-4859-96f2-1ef1ccbaea29,one_off_edit,HOLD_CRITICAL,0.0001,4,claude-opus-5,30-Aug-26
expect_hold_critical,85200444-fa48-4881-86f6-346e060d5a4e,a5e5c80d-c4a8-432f-8718-0dc260d2f5fa,one_off_edit,HOLD_CRITICAL,0.26,4,claude-opus-5,30-Aug-26
expect_hold_critical,5004a286-38dd-4a44-ae3e-6e391a0a169e,239c7b93-39d2-44c1-a778-40beee968a94,one_off_edit,HOLD_CRITICAL,0.41,4,claude-opus-5,30-Aug-26
expect_hold_critical,6b5d73a1-6292-4b58-8b2a-991e6511f56e,4e56d67a-5c50-43e1-bcfe-7de5c95d9fc5,one_off_edit,HOLD_CRITICAL,0.52,4,claude-opus-5,30-Aug-26
expect_hold_critical,d6f230b0-cf59-4a64-89c5-ba8e7407b7b8,e0a2f34d-0d4b-4cf0-ab4c-ffd536e7bc04,one_off_edit,HOLD_CRITICAL,0,4,claude-opus-5,30-Aug-26
